full_text,label;;;;;;;;;;;;;
lagi deket sm cewek cantik lucu baik seng naksir okeh tapi kok iso seneng balik karo aku ya luv,0;;;;;;;;;;;;;
luv! pengen soshum bf cari dmn yah,0;;;;;;;;;;;;;
break up pas lagi ambil data penelitian jauh dari temen kampus jauh dari temen rumah jauh dari siapapun ternyata bener bener gaenak ya. luv!,2;;;;;;;;;;;;;
Luv mau mencari mutual sekaligus teman fafifuwasweswos ketik 1 kalo mau mutualan doang dan ketik 2 kalo mau diskusi bumi bentuknya donat apa segitiga,0;;;;;;;;;;;;;
Yujiem nyediain tes toefl buat alumni ga yaa guys? kalo iyaa kena berapaa?,0;;;;;;;;;;;;;
luv! M21 175cm pasca teknik gampang diajak bercanda introvert looking for: any F yang mau :) kindly reply this thanks :),0;;;;;;;;;;;;;
ugm_fess ada yang mau jadi responden tugas akhir sender ga ya? kriterianya anak kedokteran angkatan berapapun rep yaa nanti sender dm,0;;;;;;;;;;;;;
ugm_fess anak teknik tuh emang ga cukup sama satu cewek kah? Kok bisa udah punya pacar masih deketin cewek lain?,1;;;;;;;;;;;;;
pengen cari mutualan sesama yujiem! terutama sesama gamatu 23 dong sm yg suka jb jb,0;;;;;;;;;;;;;
Cowo aneh ngga ya ikut blind date? ada yang mau barengan? Barengan lebih murah komen aja nanti gue dm. https://t.co/ViE2U59bcA,0;;;;;;;;;;;;;
guys ugm_fess tinggi sender 160cm buat toga wisuda mending yang panjangnya 130 140 apa 150cm ya? bingung..,1;;;;;;;;;;;;;
ugm_fess Wdyt guys Ini requirement macam apa wkwk. Kemnaker aware ga ya sama case kek gini hahaha. https://t.co/7pTFGA4ZXw,0;;;;;;;;;;;;;
luv jadi sender cewe yg lagi looking for teman main teman cerita teman di segala hal (cewe maupun cowo) we'll start as friend ofc but kalo ternyata cocok dan lanjut ke arah sana si gasss (tp bukan itu targetnya sih),0;;;;;;;;;;;;;
halo teman-teman ugm_fess adakah yang berkenan mengisi kuesioner penelitian kelompok sender? gaada kriterianya semua boleh ngisi. reply aja yaa nanti sender dm linknya ,0;;;;;;;;;;;;;
